user,status,response_time
122418,"200,",420 ms
55743,"200,",457 ms
20174,"200,",306 ms
30007,"200,",360 ms
34217,"200,",428 ms
23965,"200,",343 ms
292516,"200,",394 ms
158547,"200,",412 ms
24908,"200,",458 ms
117291,"200,",436 ms
93300,"200,",503 ms
80285,"200,",511 ms
158279,"200,",395 ms
282849,"200,",464 ms
293362,"200,",529 ms
28927,"200,",678 ms
73763,"200,",794 ms
2285,"200,",260 ms
186361,"200,",308 ms
145582,"200,",460 ms
288150,"200,",536 ms
195890,"200,",596 ms
160206,"200,",569 ms
45566,"200,",343 ms
217091,"200,",331 ms
62355,"200,",358 ms
110031,"200,",380 ms
295855,"200,",410 ms
40627,"200,",311 ms
122460,"200,",437 ms
189229,"200,",459 ms
71374,"200,",346 ms
167597,"200,",401 ms
171192,"200,",370 ms
217281,"200,",520 ms
293709,"200,",585 ms
231916,"200,",443 ms
301138,"200,",475 ms
257245,"200,",406 ms
230144,"200,",421 ms
29158,"200,",379 ms
94513,"200,",465 ms
288642,"200,",525 ms
208962,"200,",519 ms
136210,"200,",299 ms
118540,"200,",423 ms
137627,"200,",422 ms
205530,"200,",466 ms
162874,"200,",423 ms
21681,"200,",475 ms
8470,"200,",497 ms
226096,"200,",383 ms
121702,"200,",341 ms
74841,"200,",361 ms
296756,"200,",349 ms
56540,"200,",325 ms
209631,"200,",385 ms
285779,"200,",320 ms
304434,"200,",450 ms
172514,"200,",441 ms
144501,"200,",534 ms
183017,"200,",464 ms
29444,"200,",588 ms
89890,"200,",717 ms
109637,"200,",774 ms
278767,"200,",391 ms
11842,"200,",438 ms
135505,"200,",447 ms
73259,"200,",393 ms
37161,"0,",248 ms
86876,"200,",424 ms
35872,"200,",474 ms
68010,"200,",388 ms
147547,"200,",345 ms
52452,"200,",360 ms
35524,"200,",430 ms
258324,"200,",432 ms
71348,"200,",490 ms
234745,"200,",397 ms
267669,"200,",407 ms
105259,"200,",437 ms
37165,"200,",668 ms
50682,"200,",776 ms
300863,"200,",791 ms
172534,"200,",287 ms
168217,"200,",463 ms
248223,"200,",563 ms
276860,"200,",616 ms
252653,"200,",627 ms
283903,"200,",306 ms
29007,"200,",368 ms
99205,"200,",352 ms
218532,"200,",407 ms
20291,"200,",419 ms
207338,"200,",379 ms
254795,"200,",364 ms
157803,"200,",395 ms
157432,"200,",474 ms
190484,"200,",577 ms
249281,"200,",579 ms
260935,"200,",330 ms
131393,"200,",460 ms
162526,"200,",505 ms
261519,"200,",423 ms
269655,"200,",347 ms
121704,"200,",493 ms
119367,"200,",308 ms
215285,"200,",503 ms
19638,"200,",607 ms
13971,"200,",566 ms
169851,"200,",302 ms
279866,"200,",399 ms
213230,"200,",433 ms
162642,"200,",440 ms
61241,"200,",487 ms
290752,"200,",390 ms
148223,"200,",476 ms
276304,"200,",432 ms
61205,"0,",548 ms
276151,"200,",305 ms
130453,"200,",381 ms
46720,"200,",334 ms
286271,"200,",381 ms
156459,"200,",479 ms
33928,"200,",379 ms
189413,"200,",405 ms
171949,"200,",301 ms
288017,"200,",425 ms
267766,"200,",495 ms
127378,"200,",519 ms
60331,"200,",469 ms
32234,"200,",688 ms
140515,"200,",772 ms
168367,"200,",773 ms
4016,"200,",372 ms
155707,"200,",447 ms
187795,"200,",466 ms
18438,"200,",371 ms
172552,"0,",512 ms
293891,"200,",419 ms
114733,"200,",638 ms
262816,"200,",651 ms
181318,"200,",401 ms
233420,"200,",407 ms
79621,"200,",408 ms
7231,"200,",189 ms
298238,"200,",441 ms
135444,"200,",348 ms
153229,"200,",402 ms
304286,"200,",316 ms
277170,"200,",436 ms
259746,"200,",410 ms
294636,"200,",453 ms
10035,"200,",583 ms
168398,"200,",651 ms
300398,"200,",368 ms
285506,"200,",498 ms
37829,"200,",417 ms
93796,"200,",503 ms
227143,"200,",560 ms
201487,"200,",627 ms
175337,"200,",644 ms
104035,"200,",604 ms
17826,"200,",620 ms
219483,"200,",365 ms
238133,"200,",597 ms
195392,"200,",627 ms
82673,"200,",749 ms
90209,"200,",367 ms
18452,"200,",404 ms
152032,"200,",407 ms
197591,"200,",405 ms
97985,"200,",385 ms
145685,"200,",384 ms
237268,"200,",382 ms
50157,"200,",478 ms
208148,"200,",451 ms
53329,"200,",519 ms
177106,"200,",526 ms
239446,"200,",407 ms
6519,"200,",441 ms
166073,"200,",536 ms
153228,"200,",518 ms
139118,"200,",311 ms
307577,"200,",387 ms
104033,"200,",347 ms
255903,"200,",382 ms
157288,"200,",491 ms
259415,"200,",546 ms
127833,"200,",470 ms
168447,"200,",325 ms
4443,"200,",349 ms
85475,"200,",389 ms
96427,"200,",443 ms
76059,"200,",479 ms
51019,"200,",365 ms
57129,"200,",376 ms
282357,"200,",318 ms
164530,"200,",446 ms
276917,"200,",470 ms
59713,"200,",343 ms
306873,"200,",260 ms
72148,"200,",415 ms
305967,"200,",428 ms
100340,"200,",318 ms
58369,"200,",434 ms
218470,"200,",331 ms
247644,"200,",517 ms
46589,"200,",520 ms
39143,"200,",496 ms
302772,"200,",469 ms
87856,"200,",475 ms
165481,"200,",389 ms
133493,"200,",598 ms
73128,"200,",647 ms
54548,"200,",295 ms
78190,"200,",531 ms
275349,"200,",410 ms
288046,"200,",309 ms
202365,"200,",421 ms
804,"200,",484 ms
221481,"200,",405 ms
265180,"200,",400 ms
287179,"200,",319 ms
81769,"200,",576 ms
262833,"200,",645 ms
100377,"200,",664 ms
21557,"200,",389 ms
44137,"200,",405 ms
103500,"200,",465 ms
40293,"200,",607 ms
56017,"200,",624 ms
204884,"200,",617 ms
4656,"200,",619 ms
35900,"200,",432 ms
109610,"200,",572 ms
150841,"0,",710 ms
34567,"200,",725 ms
124915,"200,",371 ms
154427,"200,",452 ms
163862,"200,",229 ms
120074,"200,",447 ms
104049,"200,",342 ms
73650,"200,",439 ms
45939,"200,",488 ms
91697,"200,",485 ms
127857,"200,",366 ms
242992,"200,",487 ms
294829,"200,",513 ms
145233,"200,",358 ms
171783,"200,",324 ms
277927,"200,",534 ms
270844,"200,",549 ms
102708,"200,",435 ms
209477,"200,",471 ms
184301,"200,",532 ms
257146,"200,",433 ms
253852,"200,",551 ms
245319,"200,",281 ms
42684,"200,",337 ms
60584,"200,",360 ms
43330,"200,",476 ms
234168,"200,",387 ms
139226,"200,",327 ms
295868,"200,",393 ms
78373,"200,",314 ms
307441,"200,",462 ms
194072,"200,",345 ms
19487,"200,",364 ms
271362,"200,",266 ms
92588,"200,",414 ms
123836,"200,",428 ms
237231,"200,",432 ms
116177,"200,",482 ms
158537,"200,",318 ms
307615,"200,",420 ms
27308,"200,",477 ms
58062,"200,",531 ms
158407,"200,",469 ms
66632,"200,",474 ms
72939,"200,",320 ms
216300,"200,",107 ms
293331,"200,",379 ms
187630,"200,",386 ms
127842,"200,",437 ms
208109,"200,",453 ms
243266,"200,",594 ms
112881,"200,",220 ms
129730,"200,",400 ms
80970,"200,",509 ms
141882,"200,",463 ms
198380,"200,",491 ms
197568,"200,",350 ms
286781,"200,",444 ms
27594,"200,",336 ms
664,"200,",447 ms
73256,"200,",516 ms
216317,"200,",314 ms
277926,"200,",400 ms
67237,"200,",464 ms
255338,"200,",302 ms
198153,"0,",425 ms
159182,"200,",318 ms
172707,"200,",344 ms
168122,"200,",425 ms
97786,"200,",600 ms
127723,"200,",646 ms
1971,"200,",722 ms
87776,"200,",793 ms
194902,"200,",535 ms
272359,"200,",634 ms
73621,"200,",640 ms
121996,"200,",304 ms
90288,"200,",397 ms
2173,"0,",818 ms
196137,"0,",808 ms
182149,"0,",883 ms
304544,"0,",900 ms
160216,"0,",888 ms
307043,"200,",491 ms
211054,"200,",526 ms
13342,"200,",322 ms
123682,"200,",390 ms
65117,"200,",659 ms
46791,"200,",319 ms
210022,"200,",363 ms
88837,"200,",492 ms
31453,"200,",238 ms
183988,"200,",244 ms
147773,"200,",286 ms
32950,"0,",419 ms
33935,"200,",235 ms
183745,"200,",427 ms
293086,"200,",383 ms
90509,"200,",487 ms
158285,"200,",511 ms
281744,"200,",583 ms
78110,"200,",329 ms
40204,"200,",355 ms
38336,"200,",182 ms
20893,"200,",563 ms
54259,"200,",593 ms
88163,"200,",328 ms
115057,"200,",283 ms
162414,"200,",279 ms
242088,"200,",522 ms
56923,"200,",414 ms
239413,"200,",452 ms
113747,"200,",408 ms
60329,"200,",251 ms
86187,"200,",384 ms
240757,"200,",533 ms
214207,"200,",366 ms
271604,"200,",490 ms
130197,"200,",611 ms
496,"200,",610 ms
4756,"200,",283 ms
120342,"200,",481 ms
92675,"200,",512 ms
178528,"200,",496 ms
47395,"200,",246 ms
1511,"200,",346 ms
99355,"200,",489 ms
93798,"200,",440 ms
5507,"200,",505 ms
108271,"200,",472 ms
209094,"200,",473 ms
283389,"200,",333 ms
66202,"200,",471 ms
132327,"200,",279 ms
38385,"200,",419 ms
139384,"200,",459 ms
239947,"200,",298 ms
102777,"200,",403 ms
109045,"200,",415 ms
48607,"200,",629 ms
32975,"200,",701 ms
36305,"200,",713 ms
2071,"200,",732 ms
24669,"200,",486 ms
15968,"200,",625 ms
204038,"200,",639 ms
203251,"200,",396 ms
206777,"200,",383 ms
17940,"200,",604 ms
142315,"0,",816 ms
76479,"0,",825 ms
199868,"0,",855 ms
169044,"0,",857 ms
32292,"200,",523 ms
80304,"200,",558 ms
186577,"200,",347 ms
90289,"200,",659 ms
101389,"200,",246 ms
75870,"200,",240 ms
179400,"200,",352 ms
104374,"200,",525 ms
151309,"200,",397 ms
9743,"200,",360 ms
212601,"200,",386 ms
204547,"200,",369 ms
279533,"200,",414 ms
41811,"200,",494 ms
173393,"200,",586 ms
169667,"200,",606 ms
232162,"200,",314 ms
249763,"200,",331 ms
62705,"200,",339 ms
64372,"200,",512 ms
278435,"200,",569 ms
193802,"200,",600 ms
59040,"200,",374 ms
220525,"200,",427 ms
73042,"200,",307 ms
2482,"200,",492 ms
240655,"200,",492 ms
17545,"200,",449 ms
130647,"200,",448 ms
246727,"200,",376 ms
