user,movie,rating
234715,we+were+soldiers+2002,4
234796,fight+club+1999,4
245025,the+texas+chainsaw+massacre+2003,4
282905,life+according+to+sam+2013,4
302324,a+very+potter+musical+2009,4
199630,a+boy+named+charlie+brown+1969,4
267116,landscape+suicide+1987,3
142460,the+secret+world+of+arrietty+2010,3
175159,sabrina+1954,4
269789,coma+1978,3
29678,bulletproof+1996,2
289864,harry+potter+and+the+goblet+of+fire+2005,3
274498,my+neighbor+totoro+1988,4
156470,my+beautiful+laundrette+1985,3
259017,grace+is+gone+2007,3
114617,dj+vu+2006,3
282574,being+there+1979,5
266592,wild+china+2008,3
284881,the+open+road+1926,3
163169,salom+1972,2
307219,stonewall+uprising+2010,5
73425,fear+x+2003,5
141387,swing+kids+1993,2
178473,when+a+man+loves+a+woman+1994,4
189883,the+immigrant+2013,3
262747,once+around+1991,3
89338,one+flew+over+the+cuckoos+nest+1975,5
58947,raiders+of+the+lost+ark+1981,4
28507,numb+2007,4
199276,life+of+pi+2012,4
218132,the+wise+guys+1965,3
216261,lost+in+austen+2008,5
9724,billy+liar+1963,4
228345,eyewitness+1981,4
99878,the+shawshank+redemption+1994,5
223558,random+harvest+1942,4
306177,the+lord+of+the+rings+the+return+of+the+king+2003,3
144995,the+dark+knight+rises+2012,5
209286,my+one+and+only+2009,3
41044,spirited+away+2001,4
288056,pride+and+glory+2008,3
173868,have+dreams_+will+travel+2007,4
228938,harry+potter+and+the+half-blood+prince+2009,4
177086,my+life+in+pink+1997,5
8460,caught+inside+2010,5
51070,raiders+of+the+lost+ark+1981,4
71031,mbius+2013,3
246641,the+luzhin+defence+2000,4
130953,berserk+the+golden+age+arc+3+-+the+advent+2013,4
268082,axed+2012,4
99155,harry+potter+and+the+deathly+hallows+part+2+2011,5
308726,the+godfather+1972,5
287124,coraline+2009,3
16172,simple+simon+2010,4
14597,sixteen+candles+1984,4
131173,harry+potter+and+the+deathly+hallows+part+2+2011,4
3195,rivers+edge+1986,3
297177,inception+2010,4
295384,gladiator+2000,3
48583,paz+2002,3
128785,star+wars+1977,3
307127,grajcy+z+talerza+1995,3
197015,aguirre+the+wrath+of+god+1972,4
21794,syrinx+1966,3
240529,the+storage+2011,3
307645,overnight+delivery+1998,3
308695,dances+with+wolves+1990,4
309014,interstellar+2014,4
288872,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5
186917,wyjcie+awaryjne+1982,4
297613,guns+of+the+magnificent+seven+1969,3
2834,mulan+1998,3
8656,our+man+flint+1966,4
143219,playtime+1967,5
207083,interstellar+2014,4
101793,castle+of+purity+1973,3
217172,harry+potter+and+the+deathly+hallows+part+1+2010,4
260861,raiders+of+the+lost+ark+1981,3
93807,parenthood+1989,5
301235,army+of+shadows+1969,4
150830,alfie+1966,3
4271,ragamuffin+2014,3
215130,castle+in+the+sky+1986,5
148297,spirited+away+2001,5
85645,o+lucky+man+1973,4
172107,my+sister+eileen+1955,4
284006,you+cant+take+it+with+you+1938,4
63876,alfie+1966,4
226298,the+human+condition+iii+a+soldiers+prayer+1961,4
288829,matchstick+men+2003,3
74775,despicable+me+2010,4
235626,the+wolf+of+wall+street+2013,4
250165,exodus+1960,3
111204,firecracker+2005,3
101952,hairspray+2007,3
102596,murder+in+the+first+1995,4
38761,you+cant+take+it+with+you+1938,4
52195,il...+belpaese+1977,4
34211,vice+2015,3
239198,project+s+1993,2
186885,the+cosmonaut+2013,3
235689,a+very+potter+musical+2009,5
59076,everly+2015,3
68433,big+hero+6+2014,3
246163,the+staircase+2004,5
107558,priest+daens+1992,2
182980,the+prestige+2006,4
244888,akira+1988,4
167985,vincent+1982,4
73353,ice+age+continental+drift+2012,4
54167,burne+2008,5
251009,the+exterminating+angel+1962,4
206557,lawrence+of+arabia+1962,5
136435,the+big+circus+1959,4
295716,apnea+2010,3
75506,parenthood+1989,4
114117,monsters+ball+2001,3
301474,burne+2008,5
226069,stalag+17+1953,4
188931,the+godfather+1972,4
30200,sansho+the+bailiff+1954,4
284409,chromophobia+2005,3
52443,eyewitness+1981,3
182406,burne+2008,4
167593,eyewitness+1981,3
35140,burne+2008,4
110306,le+grand+soir+2012,4
64546,the+nuns+story+1959,4
48360,the+good_+the+bad+and+the+ugly+1966,3
109139,running+on+empty+1988,5
101019,serpico+1973,4
157862,harry+potter+and+the+deathly+hallows+part+2+2011,3
187839,a+trip+to+the+moon+1902,4
256103,burne+2008,4
96895,original+gangstas+1996,2
33162,anatomy+of+a+murder+1959,4
248211,harry+potter+and+the+deathly+hallows+part+1+2010,2
303338,skyfall+2012,4
276258,the+beach+1954,3
109679,lord+of+illusions+1995,3
48027,waiting+for+armageddon+2009,4
46300,harry+potter+and+the+deathly+hallows+part+1+2010,4
151833,the+scent+of+green+papaya+1993,4
262676,eight+deadly+shots+1972,5
72880,day++night+2010,3
75894,lady+and+the+tramp+1955,3
91329,the+dark+knight+rises+2012,4
68764,absence+of+malice+1981,3
233258,signs+2008,4
34192,burne+2008,4
63923,burne+2008,4
174623,ponyo+2008,3
245504,conan+the+barbarian+1982,4
69802,chronic+town+2010,3
187616,the+trouble+with+bliss+2011,4
167158,imago+mortis+2009,3
129525,songcatcher+2001,4
286121,nom+de+code++rose+2012,4
214117,toy+story+3+2010,5
299383,duck+soup+1933,5
162966,true+lies+1994,2
107216,the+hobbit+the+battle+of+the+five+armies+2014,3
176846,gangs+of+wasseypur+2012,4
302285,how+the+grinch+stole+christmas+1966,5
160834,harry+potter+and+the+deathly+hallows+part+1+2010,3
263582,12+2007,4
141411,the+perks+of+being+a+wallflower+2012,3
4933,toy+story+3+2010,5
22366,jack-jack+attack+2004,4
284680,a+very+potter+musical+2009,5
303252,exam+2009,4
208387,swordfish+2001,2
127143,rio+bravo+1959,4
268899,batman+begins+2005,4
106440,away+from+her+2006,3
43053,the+shawshank+redemption+1994,4
231699,ever+after+a+cinderella+story+1998,3
294328,ponyo+2008,4
218645,harry+potter+and+the+order+of+the+phoenix+2007,3
80283,night+of+the+living+dead+1990,3
250372,how+to+train+your+dragon+2+2014,4
164686,avatar+2009,4
267178,spider+2007,3
147378,howls+moving+castle+2004,4
250347,eyewitness+1981,3
146068,hot+saturday+1932,4
201007,the+pit_+the+pendulum+and+hope+1984,3
215060,eyewitness+1981,4
128954,swordfish+2001,3
81254,brother+orchid+1940,4
68001,rehearsals+for+extinct+anatomies+1987,4
55179,the+green+mile+1999,4
237372,explorers+1985,4
54928,junebug+2005,3
52719,the+hot+spot+1990,3
143953,cargo+2013,3
173101,the+smiling+lieutenant+1931,3
100999,the+lord+of+the+rings+the+return+of+the+king+2003,5
52277,the+dark+knight+rises+2012,3
160701,nathalie...+2003,4
31351,much+ado+about+nothing+2012,4
128925,gendernauts+a+journey+through+shifting+identities+1999,4
98766,desire+1936,4
227957,murder+in+the+first+1995,3
3404,love+jones+1997,3
217890,the+miser+1980,4
199034,steamboat+willie+1928,4
225182,two+if+by+sea+1996,3
128116,eye+of+god+1997,3
225158,tongan+ninja+2002,4
37162,empire+of+the+sun+1987,4
172316,the+good_+the+bad+and+the+ugly+1966,5
148188,my+darling+clementine+1946,4
212942,2001+a+space+odyssey+1968,4
186916,divergent+2014,4
11682,invictus+2009,4
43852,sleeping+beauty+1959,3
164557,the+ghost+story+of+oiwas+spirit+1961,3
194379,mississippi+burning+1988,3
259942,stonehearst+asylum+2014,4
114691,the+imitation+game+2014,3
210799,the+awful+truth+,4
281703,kikis+delivery+service+1989,4
186299,burne+2008,4
286121,occupant+2011,4
29603,away+from+her+2006,4
245787,long+way+round+2004,3
292115,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,3
154329,garbage+prince+2011,3
306753,day++night+2010,4
258097,running+on+empty+1988,4
269415,stander+2003,5
235692,twins+1988,5
102652,the+chronicles+of+narnia+the+lion_+the+witch+and+the+wardrobe+2005,3
259439,the+lord+of+the+rings+the+two+towers+2002,3
72404,away+from+her+2006,5
302335,eye+of+god+1997,4
157023,the+lord+of+the+rings+the+return+of+the+king+2003,4
262416,pulp+fiction+1994,4
65289,eye+of+god+1997,4
265180,twilight+1998,3
265158,lotta+leaves+home+1993,2
146051,the+dinner+guest+2007,4
183020,castle+in+the+sky+1986,2
308598,eden+lake+2008,3
255925,lana+turner...+a+daughters+memoir+2001,4
293795,burne+2008,3
4342,fake+it+so+real+2012,3
306267,tokyo+story+1953,3
197469,frozen+2013,5
116393,breaking+the+taboo+2011,3
171783,the+secret+world+of+arrietty+2010,3
38125,rebel+without+a+cause+1955,4
143135,my+one+and+only+2009,4
288909,burne+2008,4
94264,interstellar+2014,4
201049,hotel+chevalier+2007,3
109452,applause+1930,2
226872,murphys+war+1971,3
152154,mon+oncle+1958,3
295855,the+owl+and+the+pussycat+1970,4
75176,the+lion+in+winter+1968,3
286539,the+shawshank+redemption+1994,4
223860,funny+about+love+1990,1
300250,extreme+prejudice+1987,3
128237,mystic+river+2003,4
195773,mysterious+island+1961,4
150525,i_+robot+2004,4
212857,my+own+private+idaho+1991,4
154048,avanti+1972,4
216834,pushing+tin+1999,4
293232,away+from+her+2006,4
1859,burne+2008,4
212311,drifting+clouds+1996,5
229720,some+folks+call+it+a+sling+blade+1994,4
27655,i+dont+want+to+go+back+alone+2010,4
47355,dragnet+1987,3
34682,easy+street+1917,5
73931,burne+2008,3
103399,ever+after+a+cinderella+story+1998,1
175086,gypsy+1962,4
191670,batman+begins+2005,4
139168,mutiny+on+the+bounty+1935,4
87266,inglourious+basterds+2009,4
153310,inception+2010,4
160351,tables+turned+on+the+gardener+1895,3
144433,ten+minutes+older+1978,4
144066,ali+2001,4
96919,the+newest+pledge+2012,4
95123,at+the+circus+1939,3
27057,the+browning+version+1994,3
288046,the+return+of+the+prodigal+son+1967,4
245615,burne+2008,3
129004,nightmares+1983,3
273014,the+loved+ones+2009,4
264551,futureworld+1976,4
275590,my+summer+of+love+2004,3
112178,a+very+potter+musical+2009,4
264451,constantine+2005,5
141294,la+notte+1961,4
168657,those+awful+hats+1909,3
78346,the+sheltering+sky+1990,3
157483,the+incredible+hulk+2008,4
58524,manufacturing+consent+noam+chomsky+and+the+media+1992,4
232916,scarface+1983,5
276447,moebius+redux+a+life+in+pictures+2007,4
233935,nightmares+in+red_+white+and+blue+2009,4
167002,the+crimson+pirate+1952,3
166594,sex_+love++therapy+2014,4
202337,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,4
36421,tangled+ever+after+2012,4
13309,watchmen+2009,3
297509,tekkonkinkreet+2006,3
10658,curdled+1996,2
199193,guardians+of+the+galaxy+2014,4
17803,the+bakery+girl+of+monceau+1963,4
99692,a+perfect+fake+2005,4
19508,the+man+who+loved+yngve+2008,4
25452,my+one+and+only+2009,5
8433,away+from+her+2006,5
100466,away+from+her+2006,5
268298,eye+of+god+1997,4
187060,arnulf+rainer+1960,3
28689,wwe+the+rise++fall+of+ecw+2004,3
290500,love+happens+2009,2
103954,open+season+2006,2
182035,interstellar+2014,4
202563,the+contender+2000,4
289738,into+the+woods+1991,5
136210,suspicion+1941,4
95442,jurassic+park+1993,3
35915,one+flew+over+the+cuckoos+nest+1975,4
37784,one+piece+film+strong+world+2009,4
100034,manufacturing+consent+noam+chomsky+and+the+media+1992,4
237555,deadbolt+1992,3
75174,ivanhoe+1952,3
172707,the+man+from+laramie+1955,4
286869,the+story+of+the+last+chrysanthemum+1939,4
13342,god+save+the+king+2005,2
188930,accattone+1961,3
237820,hellgate+1989,3
88296,all+the+presidents+men+1976,4
220683,a+sense+of+history+1992,4
200982,away+from+her+2006,2
187118,the+blue+angel+1930,3
82384,moulin+rouge+2001,5
296115,a+fairly+odd+christmas+2012,3
193055,eye+of+god+1997,4
51587,fathers+day+1997,4
216015,hotel+chevalier+2007,4
209858,little+white+lies+2010,4
256975,suddenly+1954,4
178604,frozen+2013,4
176073,my+wife+is+an+actress+2001,2
188751,the+secret+world+of+arrietty+2010,5
10544,two+girls+and+a+sailor+1944,2
95735,experiment+in+terror+1962,4
132203,trial+on+the+road+1971,4
138816,kill+the+messenger+2014,2
214101,twins+1988,2
116554,husbands+and+wives+1992,3
164456,margaret+cho+notorious+c.h.o.+2002,4
83689,automata+2014,4
86209,i_+robot+2004,4
50355,pure+country+1992,3
297656,harry+potter+and+the+deathly+hallows+part+2+2011,4
96224,seven+samurai+1954,5
71514,ong-bak+the+thai+warrior+2003,3
85771,sundome+2007,4
56168,my+side+of+the+mountain+1969,4
122255,away+from+her+2006,3
191024,punks+2000,4
181308,the+punk+syndrome+2012,3
231942,explorers+1985,3
212358,a+very+potter+musical+2009,4
298248,teen+spirit+2007,2
19559,star+trek+first+contact+1996,2
203709,tukkijoella+1928,3
263309,the+incredibles+2004,5
83141,burne+2008,4
187569,in+the+line+of+fire+1993,4
6525,away+from+her+2006,2
275220,kung+fu+panda+2+2011,2
252524,the+shawshank+redemption+1994,4
216383,evita+1996,2
161757,castaway+1986,3
201317,spirited+away+2001,3
207996,my+man+godfrey+1957,4
260596,juno+2007,3
175800,exorcist+ii+the+heretic+1977,2
205620,burne+2008,5
26009,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5
126710,running+on+empty+1988,4
212398,burne+2008,4
214428,sleeping+beauty+1959,3
103855,the+shawshank+redemption+1994,4
48479,shoot+to+kill+1988,3
267230,saving+private+ryan+1998,3
142054,creature+comforts+1989,4
137268,forrest+gump+1994,5
170744,evolver+1994,3
219876,little+italy+1978,3
106551,mysterious+island+1961,3
269658,northanger+abbey+2007,4
206046,expelled+2014,3
161480,lucas+1986,5
162118,get+a+horse+2013,4
9430,eyewitness+1981,3
83628,analyze+that+2002,4
258420,un+chien+andalou+1929,3
219092,jim+gaffigan+mr.+universe+2012,3
