user,movie
209631,big+hero+6+2014
122460,the+green+mile+1999
293891,sink+the+bismarck+1960
7231,yu-gi-oh+3d+bonds+beyond+time+2010
157288,harry+potter+and+the+goblet+of+fire+2005
50157,bollywoodhollywood+2002
189413,aladdin+1992
664,insurgent+2015
171783,perils+of+the+sentimental+swordsman+1982
46791,explorers+1985
302772,harry+potter+and+the+deathly+hallows+part+2+2011
265180,2001+a+space+odyssey+1968
293331,three+came+home+1950
100377,the+late+show+1977
73128,the+dark+knight+2008
173393,charley+varrick+1973
169667,the+godfather+1972
204038,julia+1977
113617,sal_+or+the+120+days+of+sodom+1975
76479,tokyo+olympiad+1965
15888,the+shop+on+main+street+1965
212567,my+neighbor+totoro+1988
139843,aladdin+1992
31765,kill+bill+vol.+1+2003
115539,the+gambler+1974
146281,africa_+goodbye+1966
220780,shirin+in+love+2014
22511,sixteen+candles+1984
78402,the+steel+helmet+1951
98628,my+girlfriend+is+an+agent+2009
78243,alien+1992
68898,my+man+godfrey+1957
265620,from+russia+with+love+1963
99853,locked+out+2006
122418,tai-pan+1986
55743,executive+decision+1996
86876,dune+1984
34217,the+next+three+days+2010
292516,ice+age+dawn+of+the+dinosaurs+2009
80285,away+from+her+2006
30007,how+to+train+your+dragon+2+2014
293362,shrek+2001
282849,explorers+1985
93300,my+first+war+2008
35524,four+friends+1981
267669,the+dark+hours+2005
160206,miss+and+the+doctors+2013
288150,married+life+2007
258324,everyone+says+i+love+you+1996
168217,the+motorcycle+diaries+2004
29007,empire+of+the+ants+1977
145582,the+blood+of+heroes+1989
218532,the+imitation+game+2014
110031,total+recall+1990
167597,extract+2009
40627,lucas+1986
190484,mirror+1975
293709,castle+in+the+sky+1986
131393,experiment+in+terror+1962
257245,seconds+apart+2011
269655,avanti+1972
230144,primal+fear+1996
162526,nightcrawler+2014
61241,extract+2009
279866,the+casino+murder+case+1935
119367,mulan+1998
301138,gypsy+1962
248223,the+fifth+element+1997
8470,king+of+texas+2002
21681,mysterious+island+1961
157432,stagecoach+1939
276304,the+godfather+1972
208962,away+from+her+2006
79170,candleshoe+1977
35872,running+on+empty+1988
158547,love+wrecked+2005
71348,murder+in+the+first+1995
117291,crook+2004
73763,guardians+of+the+galaxy+2014
105259,shooter+2007
35211,bull+durham+1988
186361,junebug+2005
234745,synecdoche_+new+york+2008
28927,away+from+her+2006
2285,barbershop+2++back+in+business+2004
158279,eyewitness+1981
50682,dutch+1991
45566,my+sassy+girl+2001
283903,the+harder+they+come+1972
195890,99+river+street+1953
217091,once+in+a+lifetime+the+extraordinary+story+of+the+new+york+cosmos+2006
62355,the+sea+2002
295855,the+owl+and+the+pussycat+1970
37165,the+godfather+1972
254795,raiders+of+the+lost+ark+1981
71374,south+park+bigger_+longer++uncut+1999
217281,same+old+song+1997
23965,the+first+beautiful+thing+2010
231916,dune+1984
261519,big+hero+6+2014
