user,movie
199630,a+boy+named+charlie+brown+1969
175159,sabrina+1954
142460,the+secret+world+of+arrietty+2010
254887,bloodstone+subspecies+ii+1993
259017,grace+is+gone+2007
282574,being+there+1979
289864,harry+potter+and+the+goblet+of+fire+2005
193193,exit+wounds+2001
261611,billy+elliot+2000
274498,my+neighbor+totoro+1988
307219,stonewall+uprising+2010
156470,my+beautiful+laundrette+1985
90719,henry+iv+part+2+1979
114617,dj+vu+2006
199276,life+of+pi+2012
89338,one+flew+over+the+cuckoos+nest+1975
91323,warsaw+bridge+1989
272358,once+around+1991
178473,when+a+man+loves+a+woman+1994
189883,the+immigrant+2013
73425,fear+x+2003
154442,castle+in+the+sky+1986
228345,eyewitness+1981
262747,once+around+1991
216261,lost+in+austen+2008
58947,raiders+of+the+lost+ark+1981
198840,bully+2011
99878,the+shawshank+redemption+1994
161720,the+wolf+of+wall+street+2013
41044,spirited+away+2001
289470,brave+2012
101180,leon+the+professional+1994
191,jump+tomorrow+2001
224499,drifting+clouds+1996
13732,funny+about+love+1990
156653,my+life+in+pink+1997
114453,executive+decision+1996
160637,going+places+1974
297104,leon+the+professional+1994
128204,axed+2012
144116,akira+1988
188156,all+the+presidents+men+1976
151283,whats+eating+gilbert+grape+1993
54895,sudden+impact+1983
24520,our+town+1940
290721,how+to+train+your+dragon+2+2014
153094,raiders+of+the+lost+ark+1981
162106,color+me+blood+red+1965
306177,the+lord+of+the+rings+the+return+of+the+king+2003
33426,adam+resurrected+2008
2834,mulan+1998
288056,pride+and+glory+2008
290240,the+alley+cats+1966
203599,finding+vivian+maier+2014
294244,juno+2007
135512,the+grand+budapest+hotel+2014
254752,alice+in+wonderland+2010
221980,seven+up+1964
135414,sundays+and+cybele+1962
251095,carmina+or+blow+up+2012
123908,how+to+train+your+dragon+2+2014
143893,inception+2010
239475,willy+wonka++the+chocolate+factory+1971
78588,burlesque+2010
123905,belle+de+jour+1967
55423,that+championship+season+1982
125723,numb+2007
31596,exodus+1960
177086,my+life+in+pink+1997
259442,the+state+of+things+1982
170451,mysterious+island+1961
197889,where+angels+fear+to+tread+1991
130143,proof+2005
35323,mysterious+island+1961
161178,eyewitness+1981
263241,terminator+2+judgment+day+1991
47263,symbol+2009
302285,blind+beast+1969
13072,the+matrix+1999
298531,punchline+1988
200338,winters+tale+2014
152714,excision+2012
242165,henry+v+1989
90465,x-men+days+of+future+past+2014
157713,bambi+1942
239386,star+wars+1977
196491,music+box+1989
252793,the+godfather+1972
216209,the+lord+of+the+rings+the+two+towers+2002
249023,faust+1926
301177,a+modern+affair+1996
250815,the+sixth+sense+1999
89594,dead+weekend+1995
40145,harry+potter+and+the+order+of+the+phoenix+2007
119105,running+on+empty+1988
183189,interview+with+the+vampire+1994
190115,back+to+the+future+1985
103924,trial+and+error+1997
109894,stereo+1969
45180,the+wrecking+crew+2008
219336,everlasting+moments+2008
131059,my+life+in+pink+1997
62902,the+circle+2014
203493,star+wars+1977
277845,stir+of+echoes+1999
290450,camp+rock+2+the+final+jam+2010
18888,just+cause+1995
283224,my+man+godfrey+1957
94372,interstellar+2014
94796,big+hero+6+2014
306697,karat+1992
211717,constantine+2005
74334,big+hero+6+2014
256107,indiscreet+1958
88935,mediterranean+food+2009
239211,lackawanna+blues+2005
197230,explorers+1985
256009,bye+bye+monkey+1978
241651,harry+potter+and+the+deathly+hallows+part+2+2011
260950,frankenstein+meets+the+wolf+man+1943
198306,pumpkin+2002
16895,nora+roberts+montana+sky+2007
56487,my+life+in+ruins+2009
78960,american+crude+2008
63727,good+copy+bad+copy+2007
47713,payback+1999
167999,the+full+monty+1997
258387,my+name+is+khan+2010
129471,my+man+godfrey+1957
246843,king+of+texas+2002
56011,quantum+of+solace+2008
280239,saving+private+ryan+1998
172687,stone+reader+2002
3588,cinderella+2015
293728,gladiator+1992+1992
207657,two+of+a+kind+1983
244485,raiders+of+the+lost+ark+1981
81197,saving+private+ryan+1998
203342,funny+games+2007
